ip,im,vp,vm,x,y,r,northing,easting
0,3,1,2,0.589958159,-0.19665272,45.85,4976090.625,607762.8636
1,4,2,3,0.983263598,-0.19665272,45.8882,4976090.291,607763.0896
2,5,3,4,1.376569038,-0.19665272,46.756,4976089.957,607763.3156
3,6,4,5,1.769874477,-0.19665272,48.3746,4976089.623,607763.5417
4,7,5,6,2.163179916,-0.19665272,51.6014,4976089.289,607763.7677
5,8,6,7,2.556485356,-0.19665272,55.0096,4976088.955,607763.9937
6,9,7,8,2.949790795,-0.19665272,59.5789,4976088.621,607764.2198
7,10,8,9,3.343096234,-0.19665272,59.2704,4976088.286,607764.4458
8,11,9,10,3.736401674,-0.19665272,60.5025,4976087.952,607764.6719
9,12,10,11,4.129707113,-0.19665272,60.4306,4976087.618,607764.8979
10,13,11,12,4.523012552,-0.19665272,59.0893,4976087.284,607765.1239
11,14,12,13,4.916317992,-0.19665272,58.4166,4976086.95,607765.35
12,15,13,14,5.309623431,-0.19665272,58.1903,4976086.616,607765.576
13,16,14,15,5.70292887,-0.19665272,57.8596,4976086.282,607765.802
14,17,15,16,6.09623431,-0.19665272,57.9882,4976085.948,607766.0281
15,18,16,17,6.489539749,-0.19665272,58.3619,4976085.614,607766.2541
16,19,17,18,6.882845188,-0.19665272,60.2364,4976085.28,607766.4801
17,20,18,19,7.276150628,-0.19665272,59.2275,4976084.946,607766.7062
18,21,19,20,7.669456067,-0.19665272,59.2161,4976084.612,607766.9322
19,22,20,21,8.062761506,-0.19665272,55.4448,4976084.278,607767.1582
20,23,21,22,8.456066946,-0.19665272,53.4716,4976083.944,607767.3843
21,24,22,23,8.849372385,-0.19665272,53.4476,4976083.61,607767.6103
22,25,23,24,9.242677824,-0.19665272,55.0706,4976083.276,607767.8363
23,26,24,25,9.635983264,-0.19665272,58.0841,4976082.941,607768.0624
24,27,25,26,10.0292887,-0.19665272,58.1561,4976082.607,607768.2884
25,28,26,27,10.42259414,-0.19665272,57.0554,4976082.273,607768.5145
26,29,27,28,10.81589958,-0.19665272,57.7732,4976081.939,607768.7405
27,30,28,29,11.20920502,-0.19665272,58.4893,4976081.605,607768.9665
28,31,29,30,11.60251046,-0.19665272,60.6727,4976081.271,607769.1926
29,32,30,31,11.9958159,-0.19665272,58.6935,4976080.937,607769.4186
30,33,31,32,12.38912134,-0.19665272,55.5461,4976080.603,607769.6446
31,34,32,33,12.78242678,-0.19665272,48.9864,4976080.269,607769.8707
32,35,33,34,13.17573222,-0.19665272,50.7962,4976079.935,607770.0967
33,36,34,35,13.56903766,-0.19665272,53.6158,4976079.601,607770.3227
34,37,35,36,13.9623431,-0.19665272,53.3496,4976079.267,607770.5488
35,38,36,37,14.35564854,-0.19665272,52.2539,4976078.933,607770.7748
36,39,37,38,14.74895397,-0.19665272,51.5745,4976078.599,607771.0009
37,40,38,39,15.14225941,-0.19665272,49.798,4976078.265,607771.2269
38,41,39,40,15.53556485,-0.19665272,51.1704,4976077.931,607771.4529
39,42,40,41,15.92887029,-0.19665272,52.3988,4976077.597,607771.679
40,43,41,42,16.32217573,-0.19665272,55.5537,4976077.262,607771.905
41,44,42,43,16.71548117,-0.19665272,55.9586,4976076.928,607772.131
42,45,43,44,17.10878661,-0.19665272,54.4611,4976076.594,607772.3571
43,46,44,45,17.50209205,-0.19665272,53.7445,4976076.26,607772.5831
44,47,45,46,17.89539749,-0.19665272,53.3387,4976075.926,607772.8091
45,48,46,47,18.28870293,-0.19665272,54.346,4976075.592,607773.0352
46,49,47,48,18.68200837,-0.19665272,54.1334,4976075.258,607773.2612
47,50,48,49,19.07531381,-0.19665272,51.6169,4976074.924,607773.4872
48,51,49,50,19.46861925,-0.19665272,48.5012,4976074.59,607773.7133
49,52,50,51,19.86192469,-0.19665272,48.5965,4976074.256,607773.9393
50,53,51,52,20.25523013,-0.19665272,53.4576,4976073.922,607774.1654
51,54,52,53,20.64853556,-0.19665272,55.4567,4976073.588,607774.3914
52,55,53,54,21.041841,-0.19665272,57.3547,4976073.254,607774.6174
53,56,54,55,21.43514644,-0.19665272,55.2927,4976072.92,607774.8435
54,57,55,56,21.82845188,-0.19665272,54.2915,4976072.586,607775.0695
55,58,56,57,22.22175732,-0.19665272,53.0782,4976072.252,607775.2955
56,59,57,58,22.61506276,-0.19665272,51.5566,4976071.917,607775.5216
57,60,58,59,23.0083682,-0.19665272,49.6015,4976071.583,607775.7476
58,61,59,60,23.40167364,-0.19665272,47.8181,4976071.249,607775.9736
59,62,60,61,23.79497908,-0.19665272,44.9063,4976070.915,607776.1997
60,63,61,62,24.18828452,-0.19665272,43.4671,4976070.581,607776.4257
61,64,62,63,24.58158996,-0.19665272,44.8945,4976070.247,607776.6518
62,65,63,64,24.9748954,-0.19665272,47.4864,4976069.913,607776.8778
63,66,64,65,25.36820084,-0.19665272,46.6013,4976069.579,607777.1038
64,67,65,66,25.76150628,-0.19665272,44.7798,4976069.245,607777.3299
65,68,66,67,26.15481172,-0.19665272,40.9593,4976068.911,607777.5559
66,69,67,68,26.54811715,-0.19665272,40.9764,4976068.577,607777.7819
67,70,68,69,26.94142259,-0.19665272,42.8617,4976068.243,607778.008
68,71,69,70,27.33472803,-0.19665272,44.1164,4976067.909,607778.234
69,72,70,71,27.72803347,-0.19665272,44.1193,4976067.575,607778.4601
70,73,71,72,28.12133891,-0.19665272,42.2269,4976067.241,607778.6861
71,74,72,73,28.51464435,-0.19665272,41.2678,4976066.907,607778.9121
72,75,73,74,28.90794979,-0.19665272,39.8375,4976066.572,607779.1382
73,76,74,75,29.30125523,-0.19665272,39.2635,4976066.238,607779.3642
74,77,75,76,29.69456067,-0.19665272,33.7192,4976065.904,607779.5902
75,78,76,77,30.08786611,-0.19665272,30.5775,4976065.57,607779.8163
76,79,77,78,30.48117155,-0.19665272,25.1609,4976065.236,607780.0423
77,80,78,79,30.87447699,-0.19665272,21.4052,4976064.902,607780.2683
78,81,79,80,31.26778243,-0.19665272,21.9702,4976064.568,607780.4944
79,82,80,81,31.66108787,-0.19665272,20.3096,4976064.234,607780.7204
80,83,81,82,32.05439331,-0.19665272,18.5246,4976063.9,607780.9465
81,84,82,83,32.44769874,-0.19665272,17.8373,4976063.566,607781.1725
82,85,83,84,32.84100418,-0.19665272,18.933,4976063.232,607781.3985
83,86,84,85,33.23430962,-0.19665272,18.4281,4976062.898,607781.6246
84,87,85,86,33.62761506,-0.19665272,17.4075,4976062.564,607781.8506
85,88,86,87,34.0209205,-0.19665272,17.6028,4976062.23,607782.0766
86,89,87,88,34.41422594,-0.19665272,16.5256,4976061.896,607782.3027
87,90,88,89,34.80753138,-0.19665272,18.5249,4976061.562,607782.5287
88,91,89,90,35.20083682,-0.19665272,20.1059,4976061.227,607782.7548
89,92,90,91,35.59414226,-0.19665272,20.2669,4976060.893,607782.9808
90,93,91,92,35.9874477,-0.19665272,19.3815,4976060.559,607783.2068
91,94,92,93,36.38075314,-0.19665272,19.1434,4976060.225,607783.4329
92,95,93,94,36.77405858,-0.19665272,18.8725,4976059.891,607783.6589
93,96,94,95,37.16736402,-0.19665272,19.0026,4976059.557,607783.8849
94,97,95,96,37.56066946,-0.19665272,18.0468,4976059.223,607784.111
95,98,96,97,37.9539749,-0.19665272,17.4839,4976058.889,607784.337
96,99,97,98,38.34728033,-0.19665272,19.0573,4976058.555,607784.5631
97,100,98,99,38.74058577,-0.19665272,21.0987,4976058.221,607784.7891
98,101,99,100,39.13389121,-0.19665272,21.9632,4976057.887,607785.0151
99,102,100,101,39.52719665,-0.19665272,20.6512,4976057.553,607785.2412
100,103,101,102,39.92050209,-0.19665272,19.472,4976057.219,607785.4672
101,104,102,103,40.31380753,-0.19665272,16.2135,4976056.885,607785.6932
102,105,103,104,40.70711297,-0.19665272,13.1075,4976056.551,607785.9193
103,106,104,105,41.10041841,-0.19665272,12.8863,4976056.217,607786.1453
104,107,105,106,41.49372385,-0.19665272,12.2554,4976055.883,607786.3714
105,108,106,107,41.88702929,-0.19665272,10.4565,4976055.548,607786.5974
106,109,107,108,42.28033473,-0.19665272,11.3916,4976055.214,607786.8234
107,110,108,109,42.67364017,-0.19665272,12.4905,4976054.88,607787.0495
108,111,109,110,43.06694561,-0.19665272,14.0269,4976054.546,607787.2755
109,112,110,111,43.46025105,-0.19665272,13.3301,4976054.212,607787.5015
110,113,111,112,43.85355649,-0.19665272,12.0419,4976053.878,607787.7276
